ox,oy,dx,dy
442558.5854158786,4420034.420254243,441445.75425585255,4416999.3568442585
441454.87663278065,4416962.658121759,443838.4884771263,4424065.162331114
444100.0470705147,4424209.754307223,445958.5917623856,4424221.87147895
446399.2760209458,4424219.867777203,438410.2526836634,4409064.796950958
438426.207977588,4409665.155693395,438593.06248965877,4404966.491311076
438924.0482424705,4406529.985986143,438249.533468181,4409722.07715483
438442.45357308665,4410089.02916269,439093.26476118993,4412086.186935837
439089.96912593837,4412209.418821665,445848.9374235787,4421770.744763728
445847.8122618973,4421852.8897704575,449998.6099377976,4418405.898348165
450469.5220491464,4418532.690790806,464362.61507851066,4436644.717637064
453708.61076813465,4423147.463123898,444946.65664213576,4425776.412526325
444840.02979478094,4425791.61387699,442541.48285632546,4427055.116984856
442528.7538640801,4427178.420599662,449236.6672977549,4418731.70292181
449069.59282139095,4419694.0305659175,451987.143021844,4422012.650704571
452066.7553934079,4422853.488790946,456191.1658075394,4425435.912666221
455904.856336491,4424802.678145763,452855.3119679483,4423288.108069562
451799.2978591398,4422163.678903924,450917.8661278012,4412886.874720301
450461.01267568447,4412869.842657003,449600.40978608996,4416348.4637915185
449576.4138936831,4416339.742668127,444350.2960220289,4415542.463762635
